berat,tingg,tinggi,gender,berat ideal,kesimpulan,
22.95,127,1.27,Female,14.23,under weight,
25.67,128,1.28,Female,15.67,under weight,
26.08,139,1.39,Female,13.5,under weight,
52.01,189,1.89,Female,14.56,under weight,
27.5,143,1.43,Female,13.45,under weight,
22.19,123,1.23,Female,14.67,under weight,
20.51,123,1.23,Female,13.56,under weight,
24.74,134,1.34,Female,13.78,under weight,
40.15,156,1.56,Female,16.5,under weight,
44.92,176,1.76,Female,14.5,under weight,
26.11,134,1.34,Female,14.54,under weight,
48.44,189,1.89,Female,13.56,under weight,
49.08,167,1.67,Female,17.6,under weight,
50.69,178,1.78,Female,16,under weight,
37.16,154,1.54,Female,15.67,under weight,
31.15,134,1.34,Female,17.35,under weight,
30.19,145,1.45,Female,14.36,under weight,
26.04,134,1.34,Female,14.5,under weight,
28.22,130,1.3,Female,16.7,under weight,
28.81,140,1.4,Female,14.7,under weight,
34.97,150,1.5,Female,15.54,under weight,
48.03,160,1.6,Female,18.76,under weight,
36.77,150,1.5,Female,16.34,under weight,
41.16,165,1.65,Female,15.12,under weight,
55.29,178,1.78,Female,17.45,under weight,
74.19,170,1.7,Male,23,over weight,
65.74,160,1.6,Male,23.1,over weight,
58.01,150,1.5,Male,23.2,over weight,
52.49,140,1.4,Male,23.4,over weight,
77.71,170,1.7,Male,23.5,over weight,
73.1,176,1.76,Male,23.6,over weight,
85.37,189,1.89,Male,23.9,over weight,
99.58,198,1.98,Male,25.4,over weight,
59.62,156,1.56,Male,24.5,over weight,
44.89,134,1.34,Male,25,over weight,
60.71,154,1.54,Male,25.6,over weight,
72.51,167,1.67,Male,26,over weight,
85.23,178,1.78,Male,26.9,over weight,
89.75,183,1.83,Male,26.8,over weight,
87.78,182,1.82,Male,26.5,over weight,
69.15,165,1.65,Male,25.4,over weight,
63.77,162,1.62,Male,24.3,over weight,
68.58,168,1.68,Male,24.3,over weight,
65.34,165,1.65,Male,24,over weight,
60.09,153,1.53,Female,25.67,over weight,
60.9,154,1.54,Female,25.68,over weight,
46.29,134,1.34,Female,25.78,over weight,
62.69,153,1.53,Female,26.78,over weight,
62.13,152,1.52,Female,26.89,over weight,
85.52,178,1.78,Female,26.99,over weight,
85.06,183,1.83,Female,25.4,over weight,
62.3,156,1.56,Female,25.6,over weight,
63.35,157,1.57,Female,25.7,over weight,
63.32,154,1.54,Female,26.7,over weight,
62.3,156,1.56,Female,25.6,over weight,
61.87,157,1.57,Female,25.1,over weight,
77.18,175,1.75,Female,25.2,over weight,
70.94,163,1.63,Female,26.7,over weight,
71.01,164,1.64,Female,26.4,over weight,
71.06,165,1.65,Female,26.1,over weight,
53.86,178,1.78,Male,17,normal,
80.43,187,1.87,Male,23,normal,
76.11,186,1.86,Male,22,normal,
71.1,184,1.84,Male,21,normal,
64.8,180,1.8,Male,20,normal,
57.3,182,1.82,Male,17.3,normal,
52.68,175,1.75,Male,17.2,normal,
55.76,176,1.76,Male,18,normal,
62.16,179,1.79,Male,19.4,normal,
52.99,164,1.64,Male,19.7,normal,
58.55,169,1.69,Male,20.5,normal,
60.4,168,1.68,Male,21.4,normal,
59.57,162,1.62,Male,22.7,normal,
56.2,157,1.57,Male,22.8,normal,
49.4,156,1.56,Male,20.3,normal,
46.68,158,1.58,Male,18.7,normal,
67.15,190,1.9,Male,18.6,normal,
36.81,143,1.43,Female,18,normal,
43.56,132,1.32,Female,25,normal,
59.27,154,1.54,Female,24.99,normal,
68.01,165,1.65,Female,24.98,normal,
57.42,158,1.58,Female,23,normal,
59.25,163,1.63,Female,22.3,normal,
67.27,178,1.78,Female,21.23,normal,
65.68,179,1.79,Female,20.5,normal,
43.4,154,1.54,Female,18.3,normal,
47.7,156,1.56,Female,19.6,normal,
56.38,176,1.76,Female,18.2,normal,
59.14,160,1.6,Male,23.1,over weight,
64.7,167,1.67,Male,23.2,over weight,
66.04,168,1.68,Male,23.4,over weight,
62.44,163,1.63,Male,23.5,over weight,
85.55,178,1.78,Male,27,over weight,
83.33,176,1.76,Male,26.9,over weight,
85.87,179,1.79,Male,26.8,over weight,
85.06,183,1.83,Male,25.4,over weight,
83.94,189,1.89,Male,23.5,over weight,
89.57,194,1.94,Male,23.8,over weight,
84.19,185,1.85,Male,24.6,over weight,
70.83,169,1.69,Male,24.8,over weight,
81.59,184,1.84,Male,24.1,over weight,
79.32,175,1.75,Male,25.9,over weight,
63.46,159,1.59,Female,25.1,over weight,
78.06,176,1.76,Female,25.2,over weight,
76.62,173,1.73,Female,25.6,over weight,
67.71,162,1.62,Female,25.8,over weight,
76.2,168,1.68,Female,27,over weight,
71.81,164,1.64,Female,26.7,over weight,
61.8,153,1.53,Female,26.4,over weight,
57.68,157,1.57,Female,23.4,over weight,
48.87,143,1.43,Female,23.9,over weight,
53.23,148,1.48,Female,24.3,over weight,
52.86,146,1.46,Female,24.8,over weight,
45.69,136,1.36,Female,24.7,over weight,
46.66,138,1.38,Female,24.5,over weight,
56.3505698,148.5185185,1.485185185,Male,25.27407407,over weight,
